run,kernel,gamma,seed,K,eps,hidden,num_layers,epochs,test_AP,best_val_AP,best_epoch,diverged,diverged_epoch
depth_L10_dirichlet_g0.1_s99,dirichlet,0.1,99,10,0.45,145,10,200,0.6318567361544438,0.6629168136621639,182,0,-1
depth_L10_fejer_g2.2_s99,fejer,2.2,99,10,0.45,145,10,200,0.6549245319260055,0.6832982562202706,101,0,-1
depth_L10_uniform_g2.2_s99,uniform,2.2,99,10,0.45,145,10,200,0.6336543768648222,0.668007598665451,184,0,-1
depth_L16_dirichlet_g0.1_s99,dirichlet,0.1,99,10,0.45,145,16,200,0.38057046110134796,0.3897495546481445,28,1,35
depth_L16_fejer_g2.2_s99,fejer,2.2,99,10,0.45,145,16,200,0.6312745198976487,0.6515057036646453,189,0,-1
depth_L16_uniform_g2.2_s99,uniform,2.2,99,10,0.45,145,16,200,0.3628280086099814,0.379346458962236,26,1,35
depth_L3_dirichlet_g0.1_s99,dirichlet,0.1,99,10,0.45,145,3,200,0.6817630432899968,0.7043150171144024,98,0,-1
depth_L3_fejer_g2.2_s99,fejer,2.2,99,10,0.45,145,3,200,0.6812501568332777,0.7087519503201715,121,0,-1
depth_L3_uniform_g2.2_s99,uniform,2.2,99,10,0.45,145,3,200,0.6853269327956598,0.7049588700357174,91,0,-1
depth_L6_dirichlet_g0.1_s99,dirichlet,0.1,99,10,0.45,145,6,200,0.6732935455580857,0.6890996434181781,149,0,-1
depth_L6_fejer_g2.2_s99,fejer,2.2,99,10,0.45,145,6,200,0.6739293653461399,0.6889364338754312,98,0,-1
depth_L6_uniform_g2.2_s99,uniform,2.2,99,10,0.45,145,6,200,0.6602844572986204,0.6797850241086103,106,0,-1
