run,kernel,gamma,seed,K,eps,hidden,num_layers,epochs,test_AP,best_val_AP,best_epoch,diverged,diverged_epoch
ds_L16_dirichlet_g0.1_s0,dirichlet,0.1,0,10,0.45,145,16,200,0.3793975910559947,0.40149648273646815,28,1,35
ds_L16_dirichlet_g0.1_s1,dirichlet,0.1,1,10,0.45,145,16,200,0.36913038971546985,0.39155975582370917,29,1,45
ds_L16_dirichlet_g0.1_s2,dirichlet,0.1,2,10,0.45,145,16,200,0.3690337616316413,0.38440832261484137,27,1,40
ds_L16_dirichlet_g0.1_s3,dirichlet,0.1,3,10,0.45,145,16,200,0.3723390843756325,0.3921662073604393,30,0,-1
ds_L16_fejer_g2.2_s0,fejer,2.2,0,10,0.45,145,16,200,0.6401231815412973,0.6649439289899648,168,0,-1
ds_L16_fejer_g2.2_s1,fejer,2.2,1,10,0.45,145,16,200,0.6364650828606409,0.6561633128898687,147,0,-1
ds_L16_fejer_g2.2_s2,fejer,2.2,2,10,0.45,145,16,200,0.6307954396155621,0.6590540139805919,160,0,-1
ds_L16_fejer_g2.2_s3,fejer,2.2,3,10,0.45,145,16,200,0.6429873947506108,0.6487551396370471,164,0,-1
ds_L16_uniform_g2.2_s0,uniform,2.2,0,10,0.45,145,16,200,0.3708223894378105,0.39326680321094665,24,1,42
ds_L16_uniform_g2.2_s1,uniform,2.2,1,10,0.45,145,16,200,0.3736014736274159,0.39897476811646365,30,1,43
ds_L16_uniform_g2.2_s2,uniform,2.2,2,10,0.45,145,16,200,0.37231287091873394,0.39947806504801087,27,1,46
ds_L16_uniform_g2.2_s3,uniform,2.2,3,10,0.45,145,16,200,0.3691137421355867,0.38137351230664196,31,1,41
