kernel,gamma,layers,seed,layer_probed,lambda_center,mean_gain
dirichlet,0.1,16,99,0,0.1,12.1232
dirichlet,0.1,16,99,0,0.3,9.1579
dirichlet,0.1,16,99,0,0.5,8.7532
dirichlet,0.1,16,99,0,0.7,7.9586
dirichlet,0.1,16,99,0,0.9,8.8193
dirichlet,0.1,16,99,0,1.1,8.349
dirichlet,0.1,16,99,0,1.3,6.9968
dirichlet,0.1,16,99,0,1.5,7.8131
dirichlet,0.1,16,99,0,1.7,8.1968
dirichlet,0.1,16,99,0,1.9,6.9407
uniform,2.2,16,99,0,0.1,13.3641
uniform,2.2,16,99,0,0.3,7.9529
uniform,2.2,16,99,0,0.5,7.3942
uniform,2.2,16,99,0,0.7,7.8221
uniform,2.2,16,99,0,0.9,8.1708
uniform,2.2,16,99,0,1.1,7.6418
uniform,2.2,16,99,0,1.3,5.7999
uniform,2.2,16,99,0,1.5,6.8629
uniform,2.2,16,99,0,1.7,7.2527
uniform,2.2,16,99,0,1.9,6.3885
fejer,2.2,16,99,0,0.1,13.0741
fejer,2.2,16,99,0,0.3,10.6101
fejer,2.2,16,99,0,0.5,10.5454
fejer,2.2,16,99,0,0.7,10.0421
fejer,2.2,16,99,0,0.9,10.1885
fejer,2.2,16,99,0,1.1,9.5506
fejer,2.2,16,99,0,1.3,8.6063
fejer,2.2,16,99,0,1.5,9.7864
fejer,2.2,16,99,0,1.7,11.3253
fejer,2.2,16,99,0,1.9,10.11
