run,task,kernel,gamma,num_layers,K,epsilon,hidden,lr,seed,epochs,test_logMSE,best_val_logMSE,best_epoch,diverged,diverged_epoch
gp_dist_dirichlet_g0.01_L1_s41,dist,dirichlet,0.01,1,4,0.8,40,0.003,41,1500,-0.6712677886953088,-0.6872430527367075,1250,0,-1
gp_dist_dirichlet_g0.01_L5_s41,dist,dirichlet,0.01,5,4,0.8,40,0.003,41,1500,-1.9389529207542306,-1.956872822112032,1347,0,-1
gp_dist_dirichlet_g0.01_L10_s41,dist,dirichlet,0.01,10,4,0.8,40,0.003,41,1500,-1.5891434504629331,-1.6294986914837635,648,0,-1
gp_dist_dirichlet_g0.01_L20_s41,dist,dirichlet,0.01,20,4,0.8,40,0.003,41,1500,-1.0367703213518447,-0.9724459968420494,344,0,-1
gp_dist_uniform_g1.25_L1_s41,dist,uniform,1.25,1,4,0.8,40,0.003,41,1500,-0.7700826198780657,-0.7883603298620343,1490,0,-1
gp_dist_uniform_g1.25_L5_s41,dist,uniform,1.25,5,4,0.8,40,0.003,41,1500,-1.8958198355254152,-1.923558596935612,890,0,-1
gp_dist_uniform_g1.25_L10_s41,dist,uniform,1.25,10,4,0.8,40,0.003,41,1500,-2.011942669827537,-2.0451770920771004,1391,0,-1
gp_dist_uniform_g1.25_L20_s41,dist,uniform,1.25,20,4,0.8,40,0.003,41,1500,0.9502888418782425,0.9901245347019171,2,0,-1
gp_dist_fejer_g1.25_L1_s41,dist,fejer,1.25,1,4,0.8,40,0.003,41,1500,-0.8036009963477775,-0.84079166394921,1474,0,-1
gp_dist_fejer_g1.25_L5_s41,dist,fejer,1.25,5,4,0.8,40,0.003,41,1500,-1.9020943618522783,-1.9870991365714354,1496,0,-1
gp_dist_fejer_g1.25_L10_s41,dist,fejer,1.25,10,4,0.8,40,0.003,41,1500,-1.7163354500382226,-1.728976581247101,1182,0,-1
gp_dist_fejer_g1.25_L20_s41,dist,fejer,1.25,20,4,0.8,40,0.003,41,1500,-0.8527068707463319,-0.9259143981103723,898,0,-1
