run,kernel,gamma,seed,epoch,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,max_layer
clo_L16_dirichlet_g2.2_s1,dirichlet,2.2,1,0,9.30352783203125,9.290912628173828,9.30044937133789,9.299054145812988,9.314779281616211,9.26169204711914,9.291889190673828,9.279525756835938,9.277406692504883,9.283271789550781,9.297377586364746,9.254148483276367,9.28528881072998,9.305357933044434,9.301995277404785,9.27297592163086,9.314779281616211
clo_L16_dirichlet_g2.2_s1,dirichlet,2.2,1,50,24.17902946472168,27.717029571533203,27.50608253479004,26.245460510253906,22.402359008789062,21.727691650390625,19.372182846069336,17.02413558959961,16.98208999633789,14.318808555603027,13.40108871459961,14.345940589904785,14.47920036315918,13.449167251586914,14.647817611694336,15.99108600616455,27.717029571533203
clo_L16_dirichlet_g2.2_s1,dirichlet,2.2,1,100,26.213550567626953,31.159822463989258,29.734447479248047,29.06938934326172,25.842666625976562,24.973241806030273,22.336193084716797,21.921688079833984,19.644742965698242,18.853853225708008,16.786823272705078,17.67005729675293,19.237388610839844,18.103944778442383,18.874889373779297,19.752002716064453,31.159822463989258
clo_L16_dirichlet_g2.2_s1,dirichlet,2.2,1,199,26.186458587646484,31.5162296295166,29.6324462890625,28.975706100463867,25.73308563232422,24.943485260009766,22.476686477661133,22.044225692749023,19.68842124938965,18.750776290893555,17.65462875366211,18.57344627380371,19.64444923400879,17.833576202392578,19.214351654052734,20.56255340576172,31.5162296295166
clo_L16_dirichlet_g2.2_s2,dirichlet,2.2,2,0,9.276766777038574,9.293598175048828,9.295507431030273,9.291909217834473,9.299684524536133,9.299604415893555,9.278973579406738,9.278448104858398,9.2650728225708,9.262425422668457,9.287501335144043,9.304993629455566,9.272762298583984,9.267292976379395,9.269180297851562,9.299947738647461,9.304993629455566
clo_L16_dirichlet_g2.2_s2,dirichlet,2.2,2,50,23.428857803344727,27.14732551574707,27.978260040283203,23.598915100097656,21.273950576782227,18.70968246459961,17.75066375732422,16.56195831298828,15.779855728149414,15.317503929138184,14.228029251098633,12.58950424194336,14.803877830505371,15.418025970458984,14.871146202087402,15.885354995727539,27.978260040283203
clo_L16_dirichlet_g2.2_s2,dirichlet,2.2,2,100,25.805776596069336,30.67284393310547,30.9438419342041,27.357341766357422,23.328569412231445,21.674482345581055,22.289270401000977,19.914836883544922,20.199743270874023,19.90601348876953,18.873836517333984,16.891098022460938,17.875219345092773,20.075260162353516,19.512357711791992,19.98253059387207,30.9438419342041
clo_L16_dirichlet_g2.2_s2,dirichlet,2.2,2,199,25.771331787109375,30.89864730834961,30.545852661132812,27.37685775756836,23.16538429260254,21.98256492614746,22.440109252929688,19.500457763671875,20.056962966918945,20.155092239379883,18.581289291381836,16.804752349853516,18.056528091430664,20.323261260986328,19.52552032470703,20.532350540161133,30.89864730834961
clo_L16_dirichlet_g2.2_s3,dirichlet,2.2,3,0,9.323423385620117,9.317594528198242,9.302061080932617,9.297539710998535,9.280409812927246,9.291309356689453,9.29676628112793,9.274653434753418,9.309965133666992,9.304802894592285,9.305541038513184,9.299501419067383,9.340670585632324,9.332286834716797,9.278982162475586,9.293721199035645,9.340670585632324
clo_L16_dirichlet_g2.2_s3,dirichlet,2.2,3,50,19.778949737548828,27.519622802734375,33.14362335205078,24.06430435180664,20.325193405151367,20.057857513427734,20.312776565551758,16.440845489501953,14.882709503173828,14.945301055908203,13.70326042175293,14.14804744720459,14.777396202087402,13.584674835205078,15.097668647766113,16.306865692138672,33.14362335205078
clo_L16_dirichlet_g2.2_s3,dirichlet,2.2,3,100,21.035690307617188,30.110151290893555,34.53910827636719,26.14973258972168,23.041688919067383,22.680692672729492,23.892274856567383,18.471708297729492,17.446428298950195,17.335311889648438,16.446441650390625,16.478273391723633,16.80098533630371,16.625917434692383,18.363971710205078,18.452045440673828,34.53910827636719
clo_L16_dirichlet_g2.2_s3,dirichlet,2.2,3,199,21.007265090942383,30.294919967651367,34.26155090332031,26.140169143676758,23.10213279724121,22.6602725982666,23.911746978759766,18.164596557617188,17.311054229736328,17.453598022460938,16.551633834838867,16.76831817626953,16.979928970336914,16.84681510925293,18.528213500976562,18.79717254638672,34.26155090332031
clo_L16_g0_dirichlet_s0,dirichlet,0.0,0,0,2.9381401538848877,2.9922635555267334,2.9130911827087402,2.960486888885498,2.9439713954925537,2.9101486206054688,2.984531879425049,2.8864877223968506,2.946354627609253,2.932408332824707,2.9404685497283936,2.9310784339904785,2.9171347618103027,2.894334316253662,2.914393901824951,2.936387777328491,2.9922635555267334
clo_L16_g0_uniform_s0,uniform,0.0,0,0,2.9381401538848877,2.9922637939453125,2.9130911827087402,2.960487127304077,2.9439711570739746,2.9101486206054688,2.984531879425049,2.8864877223968506,2.946354627609253,2.932408332824707,2.9404685497283936,2.9310784339904785,2.9171345233917236,2.894334316253662,2.914393901824951,2.936387777328491,2.9922637939453125
clo_L16_g0_fejer_s0,fejer,0.0,0,0,2.9381401538848877,2.9922635555267334,2.9130911827087402,2.960486888885498,2.9439713954925537,2.9101486206054688,2.9845316410064697,2.8864877223968506,2.946354389190674,2.932408332824707,2.9404687881469727,2.9310784339904785,2.9171347618103027,2.894334554672241,2.9143943786621094,2.936387777328491,2.9922635555267334
