run,kernel,gamma,seed,K,eps,hidden,num_layers,epochs,test_AP,best_val_AP,best_epoch,diverged,diverged_epoch
clo_L16_dirichlet_g2.2_s1,dirichlet,2.2,1,10,0.45,145,16,200,0.6344664943331287,0.6599899636940588,182,0,-1
clo_L16_dirichlet_g2.2_s2,dirichlet,2.2,2,10,0.45,145,16,200,0.624540192869071,0.656764278010425,121,0,-1
clo_L16_dirichlet_g2.2_s3,dirichlet,2.2,3,10,0.45,145,16,200,0.6243769684484958,0.6632969727097351,132,0,-1
clo_L16_g0_dirichlet_s0,dirichlet,0.0,0,10,0.45,145,16,200,0.37589168994172095,0.3908204462469399,25,1,37
clo_L16_g0_uniform_s0,uniform,0.0,0,10,0.45,145,16,200,0.37143852390431703,0.3884890049460532,22,1,41
clo_L16_g0_fejer_s0,fejer,0.0,0,10,0.45,145,16,200,0.38318871935470383,0.4070524508321823,28,1,39
L16_dirichlet_g2.2_s0,dirichlet,2.2,0,10,0.45,145,16,200,0.6486989558020564,0.657534326797341,169,0,-1
L16_uniform_g2.2_s0,uniform,2.2,0,10,0.45,145,16,200,0.37145081683494185,0.3918891223051926,24,1,39
L16_fejer_g2.2_s0,fejer,2.2,0,10,0.45,145,16,200,0.6486371365027145,0.6575040054752004,170,0,-1
ds_L16_fejer_g2.2_s1,fejer,2.2,1,10,0.45,145,16,200,0.6364650828606409,0.6561633128898687,147,0,-1
ds_L16_fejer_g2.2_s2,fejer,2.2,2,10,0.45,145,16,200,0.6307954396155621,0.6590540139805919,160,0,-1
ds_L16_fejer_g2.2_s3,fejer,2.2,3,10,0.45,145,16,200,0.6429873947506108,0.6487551396370471,164,0,-1
ds_L16_uniform_g2.2_s1,uniform,2.2,1,10,0.45,145,16,200,0.3736014736274159,0.39897476811646365,30,1,43
ds_L16_uniform_g2.2_s2,uniform,2.2,2,10,0.45,145,16,200,0.37231287091873394,0.39947806504801087,27,1,46
ds_L16_uniform_g2.2_s3,uniform,2.2,3,10,0.45,145,16,200,0.3691137421355867,0.38137351230664196,31,1,41
