run,kernel,gamma,seed,K,eps,hidden,num_layers,epochs,test_AP,best_val_AP,best_epoch
p1_dirichlet_g0.0_s99,dirichlet,0.0,99,10,0.45,145,3,200,0.6891534090855947,0.7063856463208762,75
p1_dirichlet_g0.1_s99,dirichlet,0.1,99,10,0.45,145,3,200,0.7021759587706154,0.7053780526147919,166
p1_dirichlet_g1.0_s99,dirichlet,1.0,99,10,0.45,145,3,200,0.6831646027880836,0.7101290313389834,94
p1_dirichlet_g2.2_s99,dirichlet,2.2,99,10,0.45,145,3,200,0.68314869806181,0.6973572507550008,135
p1_uniform_g0.0_s99,uniform,0.0,99,10,0.45,145,3,200,0.6869169587486684,0.6955417524597813,98
p1_uniform_g0.1_s99,uniform,0.1,99,10,0.45,145,3,200,0.6990116256698807,0.6982619813463348,136
p1_uniform_g1.0_s99,uniform,1.0,99,10,0.45,145,3,200,0.6878719858262939,0.704668331921171,104
p1_uniform_g2.2_s99,uniform,2.2,99,10,0.45,145,3,200,0.6938797987652913,0.6980150569601707,107
p1_fejer_g0.0_s99,fejer,0.0,99,10,0.45,145,3,200,0.6836183613206351,0.7067724216760143,173
p1_fejer_g0.1_s99,fejer,0.1,99,10,0.45,145,3,200,0.6948409151984457,0.7104117003042231,105
p1_fejer_g1.0_s99,fejer,1.0,99,10,0.45,145,3,200,0.6948387050137108,0.7009270809266437,94
p1_fejer_g2.2_s99,fejer,2.2,99,10,0.45,145,3,200,0.6865870777611267,0.7049887263798192,86
p1_dirichlet_g0.0_s99,dirichlet,0.0,99,10,0.45,145,3,200,0.6958602130794244,0.7038232790527299,113
p1_dirichlet_g0.1_s99,dirichlet,0.1,99,10,0.45,145,3,200,0.7018202116439635,0.701946874944029,162
p1_dirichlet_g1.0_s99,dirichlet,1.0,99,10,0.45,145,3,200,0.6904460871866993,0.7021635309151387,138
p1_dirichlet_g2.2_s99,dirichlet,2.2,99,10,0.45,145,3,200,0.6742675210116675,0.6891710832244722,106
p1_uniform_g0.0_s99,uniform,0.0,99,10,0.45,145,3,200,0.6886992604011841,0.7009272657658915,95
p1_uniform_g0.1_s99,uniform,0.1,99,10,0.45,145,3,200,0.6852539706898109,0.704663025890737,74
p1_uniform_g1.0_s99,uniform,1.0,99,10,0.45,145,3,200,0.696115239190302,0.7057649487373713,81
p1_uniform_g2.2_s99,uniform,2.2,99,10,0.45,145,3,200,0.6812634762753345,0.6833688712598842,80
p1_fejer_g0.0_s99,fejer,0.0,99,10,0.45,145,3,200,0.6957642663620263,0.7014492116192825,180
p1_fejer_g0.1_s99,fejer,0.1,99,10,0.45,145,3,200,0.6906258114794207,0.6965093776281288,106
p1_fejer_g1.0_s99,fejer,1.0,99,10,0.45,145,3,200,0.689849027653749,0.6992500357123144,94
p1_fejer_g2.2_s99,fejer,2.2,99,10,0.45,145,3,200,0.6829208947396592,0.69938889501468,134
