run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring24_e2.0_dirichlet_g0.01_L8_s0,24,12,dirichlet,0.01,8,2,2.0,32,0,0.232,0.21,0.2,299,0,-1
ring24_e2.0_dirichlet_g0.01_L12_s0,24,12,dirichlet,0.01,12,2,2.0,32,0,0.232,0.21,0.2,74,0,-1
ring24_e2.0_dirichlet_g0.01_L16_s0,24,12,dirichlet,0.01,16,2,2.0,32,0,0.232,0.21,0.2,39,0,-1
ring24_e2.0_dirichlet_g0.01_L20_s0,24,12,dirichlet,0.01,20,2,2.0,32,0,0.232,0.21,0.2,1,0,-1
ring24_e2.0_dirichlet_g0.01_L24_s0,24,12,dirichlet,0.01,24,2,2.0,32,0,0.432,0.418,0.2,13,0,-1
ring24_e2.0_uniform_g1.25_L8_s0,24,12,uniform,1.25,8,2,2.0,32,0,0.232,0.21,0.2,299,0,-1
ring24_e2.0_uniform_g1.25_L12_s0,24,12,uniform,1.25,12,2,2.0,32,0,0.232,0.21,0.2,74,0,-1
ring24_e2.0_uniform_g1.25_L16_s0,24,12,uniform,1.25,16,2,2.0,32,0,0.414,0.41,0.2,87,0,-1
ring24_e2.0_uniform_g1.25_L20_s0,24,12,uniform,1.25,20,2,2.0,32,0,0.432,0.418,0.2,31,0,-1
ring24_e2.0_uniform_g1.25_L24_s0,24,12,uniform,1.25,24,2,2.0,32,0,0.65,0.6,0.2,11,0,-1
ring24_e2.0_fejer_g1.25_L8_s0,24,12,fejer,1.25,8,2,2.0,32,0,0.232,0.21,0.2,299,0,-1
ring24_e2.0_fejer_g1.25_L12_s0,24,12,fejer,1.25,12,2,2.0,32,0,0.232,0.21,0.2,74,0,-1
ring24_e2.0_fejer_g1.25_L16_s0,24,12,fejer,1.25,16,2,2.0,32,0,0.796,0.812,0.2,41,0,-1
ring24_e2.0_fejer_g1.25_L20_s0,24,12,fejer,1.25,20,2,2.0,32,0,1.0,1.0,0.2,81,0,-1
ring24_e2.0_fejer_g1.25_L24_s0,24,12,fejer,1.25,24,2,2.0,32,0,1.0,1.0,0.2,299,0,-1
