run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring24_e2.5_dirichlet_g1.25_L12_s0,24,12,dirichlet,1.25,12,2,2.5,32,0,0.382,0.402,0.2,166,0,-1
ring24_e2.5_dirichlet_g1.25_L14_s0,24,12,dirichlet,1.25,14,2,2.5,32,0,0.582,0.61,0.2,62,0,-1
ring24_e2.5_dirichlet_g1.25_L16_s0,24,12,dirichlet,1.25,16,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring24_e2.5_dirichlet_g1.25_L20_s0,24,12,dirichlet,1.25,20,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring24_e2.5_uniform_g1.25_L12_s0,24,12,uniform,1.25,12,2,2.5,32,0,0.232,0.21,0.2,74,0,-1
ring24_e2.5_uniform_g1.25_L14_s0,24,12,uniform,1.25,14,2,2.5,32,0,0.232,0.21,0.2,2,0,-1
ring24_e2.5_uniform_g1.25_L16_s0,24,12,uniform,1.25,16,2,2.5,32,0,0.414,0.41,0.2,73,0,-1
ring24_e2.5_uniform_g1.25_L20_s0,24,12,uniform,1.25,20,2,2.5,32,0,0.586,0.59,0.2,39,0,-1
ring24_e2.5_fejer_g1.25_L12_s0,24,12,fejer,1.25,12,2,2.5,32,0,0.382,0.402,0.2,149,0,-1
ring24_e2.5_fejer_g1.25_L14_s0,24,12,fejer,1.25,14,2,2.5,32,0,0.564,0.602,0.2,219,0,-1
ring24_e2.5_fejer_g1.25_L16_s0,24,12,fejer,1.25,16,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring24_e2.5_fejer_g1.25_L20_s0,24,12,fejer,1.25,20,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
